LinkRef,Date,TimePeriod,AverageJT
4,2014-11-05,00:00,74.88
4,2014-11-05,00:15,76.00
4,2014-11-05,00:30,75.14
4,2014-11-05,00:45,75.32
4,2014-11-05,01:00,74.49
4,2014-11-05,01:15,75.69
4,2014-11-05,01:30,78.34
4,2014-11-05,01:45,73.27
4,2014-11-05,02:00,71.39
4,2014-11-05,02:15,80.52
4,2014-11-05,02:30,76.90
4,2014-11-05,02:45,76.61
4,2014-11-05,03:00,73.85
4,2014-11-05,03:15,75.32
4,2014-11-05,03:30,75.18
4,2014-11-05,03:45,74.59
4,2014-11-05,04:00,73.03
4,2014-11-05,04:15,75.45
4,2014-11-05,04:30,73.44
4,2014-11-05,04:45,72.99
4,2014-11-05,05:00,68.82
4,2014-11-05,05:15,68.79
4,2014-11-05,05:30,68.88
4,2014-11-05,05:45,67.42
4,2014-11-05,06:00,67.13
4,2014-11-05,06:15,71.17
4,2014-11-05,06:30,78.09
4,2014-11-05,06:45,80.43
4,2014-11-05,07:00,80.42
4,2014-11-05,07:15,85.40
4,2014-11-05,07:30,91.05
4,2014-11-05,07:45,92.90
4,2014-11-05,08:00,93.89
4,2014-11-05,08:15,95.45
4,2014-11-05,08:30,97.17
4,2014-11-05,08:45,95.87
4,2014-11-05,09:00,95.72
4,2014-11-05,09:15,96.89
4,2014-11-05,09:30,78.69
4,2014-11-05,09:45,75.29
4,2014-11-05,10:00,72.21
4,2014-11-05,10:15,71.49
4,2014-11-05,10:30,73.57
4,2014-11-05,10:45,72.06
4,2014-11-05,11:00,71.69
4,2014-11-05,11:15,69.91
4,2014-11-05,11:30,70.98
4,2014-11-05,11:45,70.89
4,2014-11-05,12:00,71.20
4,2014-11-05,12:15,73.43
4,2014-11-05,12:30,70.80
4,2014-11-05,12:45,71.50
4,2014-11-05,13:00,70.88
4,2014-11-05,13:15,70.93
4,2014-11-05,13:30,72.15
4,2014-11-05,13:45,71.34
4,2014-11-05,14:00,68.43
4,2014-11-05,14:15,71.92
4,2014-11-05,14:30,70.64
4,2014-11-05,14:45,70.73
4,2014-11-05,15:00,70.50
4,2014-11-05,15:15,70.91
4,2014-11-05,15:30,69.70
4,2014-11-05,15:45,71.88
4,2014-11-05,16:00,70.50
4,2014-11-05,16:15,71.86
4,2014-11-05,16:30,73.52
4,2014-11-05,16:45,71.66
4,2014-11-05,17:00,73.75
4,2014-11-05,17:15,75.70
4,2014-11-05,17:30,75.73
4,2014-11-05,17:45,73.74
4,2014-11-05,18:00,70.94
4,2014-11-05,18:15,71.97
4,2014-11-05,18:30,71.26
4,2014-11-05,18:45,70.19
4,2014-11-05,19:00,67.60
4,2014-11-05,19:15,69.39
4,2014-11-05,19:30,68.93
4,2014-11-05,19:45,69.10
4,2014-11-05,20:00,68.08
4,2014-11-05,20:15,68.52
4,2014-11-05,20:30,69.73
4,2014-11-05,20:45,67.82
4,2014-11-05,21:00,68.80
4,2014-11-05,21:15,69.51
4,2014-11-05,21:30,67.42
4,2014-11-05,21:45,67.92
4,2014-11-05,22:00,69.40
4,2014-11-05,22:15,71.20
4,2014-11-05,22:30,69.79
4,2014-11-05,22:45,66.91
4,2014-11-05,23:00,69.80
4,2014-11-05,23:15,70.88
4,2014-11-05,23:30,68.92
4,2014-11-05,23:45,70.52
4,2014-11-12,00:00,71.76
4,2014-11-12,00:15,72.90
4,2014-11-12,00:30,75.34
4,2014-11-12,00:45,78.16
4,2014-11-12,01:00,77.81
4,2014-11-12,01:15,74.16
4,2014-11-12,01:30,74.45
4,2014-11-12,01:45,76.05
4,2014-11-12,02:00,74.56
4,2014-11-12,02:15,79.66
4,2014-11-12,02:30,76.50
4,2014-11-12,02:45,74.84
4,2014-11-12,03:00,74.55
4,2014-11-12,03:15,72.94
4,2014-11-12,03:30,73.34
4,2014-11-12,03:45,73.19
4,2014-11-12,04:00,69.28
4,2014-11-12,04:15,74.26
4,2014-11-12,04:30,72.18
4,2014-11-12,04:45,73.79
4,2014-11-12,05:00,69.64
4,2014-11-12,05:15,68.61
4,2014-11-12,05:30,67.58
4,2014-11-12,05:45,66.94
4,2014-11-12,06:00,70.25
4,2014-11-12,06:15,72.46
4,2014-11-12,06:30,78.84
4,2014-11-12,06:45,80.36
4,2014-11-12,07:00,87.40
4,2014-11-12,07:15,93.62
4,2014-11-12,07:30,88.87
4,2014-11-12,07:45,87.48
4,2014-11-12,08:00,95.78
4,2014-11-12,08:15,95.98
4,2014-11-12,08:30,97.53
4,2014-11-12,08:45,95.31
4,2014-11-12,09:00,96.67
4,2014-11-12,09:15,98.30
4,2014-11-12,09:30,100.97
4,2014-11-12,09:45,81.25
4,2014-11-12,10:00,74.85
4,2014-11-12,10:15,75.16
4,2014-11-12,10:30,77.20
4,2014-11-12,10:45,72.66
4,2014-11-12,11:00,71.11
4,2014-11-12,11:15,71.91
4,2014-11-12,11:30,70.98
4,2014-11-12,11:45,70.32
4,2014-11-12,12:00,70.38
4,2014-11-12,12:15,79.33
4,2014-11-12,12:30,72.46
4,2014-11-12,12:45,68.98
4,2014-11-12,13:00,68.97
4,2014-11-12,13:15,70.12
4,2014-11-12,13:30,72.00
4,2014-11-12,13:45,75.78
4,2014-11-12,14:00,73.20
4,2014-11-12,14:15,73.50
4,2014-11-12,14:30,72.64
4,2014-11-12,14:45,75.09
4,2014-11-12,15:00,75.50
4,2014-11-12,15:15,73.62
4,2014-11-12,15:30,74.54
4,2014-11-12,15:45,74.64
4,2014-11-12,16:00,78.72
4,2014-11-12,16:15,76.76
4,2014-11-12,16:30,80.52
4,2014-11-12,16:45,88.40
4,2014-11-12,17:00,89.93
4,2014-11-12,17:15,84.19
4,2014-11-12,17:30,83.27
4,2014-11-12,17:45,77.35
4,2014-11-12,18:00,76.70
4,2014-11-12,18:15,80.14
4,2014-11-12,18:30,74.26
4,2014-11-12,18:45,73.51
4,2014-11-12,19:00,70.79
4,2014-11-12,19:15,71.47
4,2014-11-12,19:30,71.26
4,2014-11-12,19:45,71.37
4,2014-11-12,20:00,70.72
4,2014-11-12,20:15,69.82
4,2014-11-12,20:30,70.64
4,2014-11-12,20:45,70.09
4,2014-11-12,21:00,69.61
4,2014-11-12,21:15,69.16
4,2014-11-12,21:30,68.94
4,2014-11-12,21:45,67.61
4,2014-11-12,22:00,69.55
4,2014-11-12,22:15,69.47
4,2014-11-12,22:30,70.51
4,2014-11-12,22:45,69.97
4,2014-11-12,23:00,70.05
4,2014-11-12,23:15,67.96
4,2014-11-12,23:30,70.29
4,2014-11-12,23:45,70.41
4,2014-11-19,00:00,72.47
4,2014-11-19,00:15,76.28
4,2014-11-19,00:30,77.35
4,2014-11-19,00:45,72.93
4,2014-11-19,01:00,76.34
4,2014-11-19,01:15,79.37
4,2014-11-19,01:30,71.92
4,2014-11-19,01:45,71.86
4,2014-11-19,02:00,75.77
4,2014-11-19,02:15,77.18
4,2014-11-19,02:30,78.41
4,2014-11-19,02:45,76.55
4,2014-11-19,03:00,76.20
4,2014-11-19,03:15,74.94
4,2014-11-19,03:30,73.21
4,2014-11-19,03:45,70.77
4,2014-11-19,04:00,70.91
4,2014-11-19,04:15,74.71
4,2014-11-19,04:30,69.37
4,2014-11-19,04:45,71.40
4,2014-11-19,05:00,69.22
4,2014-11-19,05:15,68.26
4,2014-11-19,05:30,69.42
4,2014-11-19,05:45,68.45
4,2014-11-19,06:00,67.89
4,2014-11-19,06:15,71.95
4,2014-11-19,06:30,77.19
4,2014-11-19,06:45,79.61
4,2014-11-19,07:00,85.79
4,2014-11-19,07:15,93.84
4,2014-11-19,07:30,95.66
4,2014-11-19,07:45,92.41
4,2014-11-19,08:00,94.48
4,2014-11-19,08:15,94.48
4,2014-11-19,08:30,92.73
4,2014-11-19,08:45,96.46
4,2014-11-19,09:00,97.25
4,2014-11-19,09:15,97.15
4,2014-11-19,09:30,80.13
4,2014-11-19,09:45,73.00
4,2014-11-19,10:00,71.98
4,2014-11-19,10:15,76.15
4,2014-11-19,10:30,72.15
4,2014-11-19,10:45,71.79
4,2014-11-19,11:00,70.59
4,2014-11-19,11:15,71.44
4,2014-11-19,11:30,71.85
4,2014-11-19,11:45,70.91
4,2014-11-19,12:00,71.28
4,2014-11-19,12:15,70.10
4,2014-11-19,12:30,70.47
4,2014-11-19,12:45,71.89
4,2014-11-19,13:00,71.62
4,2014-11-19,13:15,70.44
4,2014-11-19,13:30,69.14
4,2014-11-19,13:45,71.50
4,2014-11-19,14:00,74.24
