LinkRef,Date,TimePeriod,AverageJT
3,2013-09-04,00:00,147.93
3,2013-09-04,00:15,152.93
3,2013-09-04,00:30,148.88
3,2013-09-04,00:45,162.98
3,2013-09-04,01:00,153.91
3,2013-09-04,01:15,152.46
3,2013-09-04,01:30,149.63
3,2013-09-04,01:45,162.81
3,2013-09-04,02:00,161.16
3,2013-09-04,02:15,142.83
3,2013-09-04,02:30,142.83
3,2013-09-04,02:45,142.83
3,2013-09-04,03:00,142.83
3,2013-09-04,03:15,142.83
3,2013-09-04,03:30,161.05
3,2013-09-04,03:45,160.92
3,2013-09-04,04:00,159.06
3,2013-09-04,04:15,160.63
3,2013-09-04,04:30,146.51
3,2013-09-04,04:45,146.51
3,2013-09-04,05:00,146.51
3,2013-09-04,05:15,147.27
3,2013-09-04,05:30,146.72
3,2013-09-04,05:45,140.12
3,2013-09-04,06:00,138.79
3,2013-09-04,06:15,150.11
3,2013-09-04,06:30,152.35
3,2013-09-04,06:45,163.50
3,2013-09-04,07:00,174.17
3,2013-09-04,07:15,179.42
3,2013-09-04,07:30,189.19
3,2013-09-04,07:45,183.23
3,2013-09-04,08:00,156.34
3,2013-09-04,08:15,185.94
3,2013-09-04,08:30,193.17
3,2013-09-04,08:45,229.65
3,2013-09-04,09:00,317.48
3,2013-09-04,09:15,155.79
3,2013-09-04,09:30,158.47
3,2013-09-04,09:45,161.15
3,2013-09-04,10:00,175.47
3,2013-09-04,10:15,157.42
3,2013-09-04,10:30,157.42
3,2013-09-04,10:45,137.56
3,2013-09-04,11:00,139.53
3,2013-09-04,11:15,154.89
3,2013-09-04,11:30,159.77
3,2013-09-04,11:45,149.39
3,2013-09-04,12:00,136.48
3,2013-09-04,12:15,157.83
3,2013-09-04,12:30,153.44
3,2013-09-04,12:45,147.39
3,2013-09-04,13:00,163.88
3,2013-09-04,13:15,140.26
3,2013-09-04,13:30,136.70
3,2013-09-04,13:45,154.81
3,2013-09-04,14:00,137.38
3,2013-09-04,14:15,146.99
3,2013-09-04,14:30,143.23
3,2013-09-04,14:45,158.48
3,2013-09-04,15:00,143.35
3,2013-09-04,15:15,152.59
3,2013-09-04,15:30,149.00
3,2013-09-04,15:45,149.74
3,2013-09-04,16:00,139.60
3,2013-09-04,16:15,160.72
3,2013-09-04,16:30,167.14
3,2013-09-04,16:45,140.91
3,2013-09-04,17:00,150.84
3,2013-09-04,17:15,153.27
3,2013-09-04,17:30,161.01
3,2013-09-04,17:45,154.06
3,2013-09-04,18:00,161.58
3,2013-09-04,18:15,149.64
3,2013-09-04,18:30,140.61
3,2013-09-04,18:45,154.63
3,2013-09-04,19:00,126.91
3,2013-09-04,19:15,142.80
3,2013-09-04,19:30,133.08
3,2013-09-04,19:45,157.13
3,2013-09-04,20:00,148.68
3,2013-09-04,20:15,140.23
3,2013-09-04,20:30,147.83
3,2013-09-04,20:45,144.32
3,2013-09-04,21:00,146.64
3,2013-09-04,21:15,148.95
3,2013-09-04,21:30,173.66
3,2013-09-04,21:45,198.36
3,2013-09-04,22:00,198.36
3,2013-09-04,22:15,173.49
3,2013-09-04,22:30,148.61
3,2013-09-04,22:45,148.61
3,2013-09-04,23:00,169.96
3,2013-09-04,23:15,169.96
3,2013-09-04,23:30,169.96
3,2013-09-04,23:45,147.97
3,2013-09-11,00:00,151.29
3,2013-09-11,00:15,149.88
3,2013-09-11,00:30,129.23
3,2013-09-11,00:45,129.23
3,2013-09-11,01:00,129.23
3,2013-09-11,01:15,129.23
3,2013-09-11,01:30,129.23
3,2013-09-11,01:45,162.42
3,2013-09-11,02:00,158.76
3,2013-09-11,02:15,154.84
3,2013-09-11,02:30,151.67
3,2013-09-11,02:45,150.66
3,2013-09-11,03:00,147.81
3,2013-09-11,03:15,150.11
3,2013-09-11,03:30,157.39
3,2013-09-11,03:45,148.06
3,2013-09-11,04:00,152.07
3,2013-09-11,04:15,149.30
3,2013-09-11,04:30,149.30
3,2013-09-11,04:45,149.30
3,2013-09-11,05:00,147.61
3,2013-09-11,05:15,147.61
3,2013-09-11,05:30,145.95
3,2013-09-11,05:45,145.95
3,2013-09-11,06:00,146.65
3,2013-09-11,06:15,151.75
3,2013-09-11,06:30,153.87
3,2013-09-11,06:45,161.50
3,2013-09-11,07:00,176.65
3,2013-09-11,07:15,203.18
3,2013-09-11,07:30,186.53
3,2013-09-11,07:45,192.51
3,2013-09-11,08:00,172.01
3,2013-09-11,08:15,162.47
3,2013-09-11,08:30,154.44
3,2013-09-11,08:45,150.17
3,2013-09-11,09:00,143.49
3,2013-09-11,09:15,152.38
3,2013-09-11,09:30,154.29
3,2013-09-11,09:45,141.84
3,2013-09-11,10:00,156.45
3,2013-09-11,10:15,149.30
3,2013-09-11,10:30,142.15
3,2013-09-11,10:45,156.93
3,2013-09-11,11:00,135.90
3,2013-09-11,11:15,151.62
3,2013-09-11,11:30,149.60
3,2013-09-11,11:45,147.57
3,2013-09-11,12:00,141.45
3,2013-09-11,12:15,149.38
3,2013-09-11,12:30,156.06
3,2013-09-11,12:45,141.61
3,2013-09-11,13:00,172.91
3,2013-09-11,13:15,141.33
3,2013-09-11,13:30,138.40
3,2013-09-11,13:45,146.09
3,2013-09-11,14:00,141.60
3,2013-09-11,14:15,141.43
3,2013-09-11,14:30,136.77
3,2013-09-11,14:45,164.73
3,2013-09-11,15:00,151.26
3,2013-09-11,15:15,134.74
3,2013-09-11,15:30,152.88
3,2013-09-11,15:45,162.05
3,2013-09-11,16:00,149.82
3,2013-09-11,16:15,153.42
3,2013-09-11,16:30,152.35
3,2013-09-11,16:45,170.69
3,2013-09-11,17:00,162.72
3,2013-09-11,17:15,147.16
3,2013-09-11,17:30,162.33
3,2013-09-11,17:45,157.88
3,2013-09-11,18:00,166.88
3,2013-09-11,18:15,154.85
3,2013-09-11,18:30,154.92
3,2013-09-11,18:45,154.48
3,2013-09-11,19:00,154.03
3,2013-09-11,19:15,149.05
3,2013-09-11,19:30,150.63
3,2013-09-11,19:45,157.63
3,2013-09-11,20:00,138.62
3,2013-09-11,20:15,144.13
3,2013-09-11,20:30,149.64
3,2013-09-11,20:45,147.94
3,2013-09-11,21:00,147.94
3,2013-09-11,21:15,147.94
3,2013-09-11,21:30,136.36
3,2013-09-11,21:45,136.36
3,2013-09-11,22:00,136.36
3,2013-09-11,22:15,136.36
3,2013-09-11,22:30,123.07
3,2013-09-11,22:45,123.07
3,2013-09-11,23:00,123.07
3,2013-09-11,23:15,120.53
3,2013-09-11,23:30,117.98
3,2013-09-11,23:45,117.98
3,2013-09-18,00:00,160.85
3,2013-09-18,00:15,160.85
3,2013-09-18,00:30,160.85
3,2013-09-18,00:45,162.91
3,2013-09-18,01:00,156.07
3,2013-09-18,01:15,163.30
3,2013-09-18,01:30,161.16
3,2013-09-18,01:45,152.52
3,2013-09-18,02:00,160.02
3,2013-09-18,02:15,163.29
3,2013-09-18,02:30,153.17
3,2013-09-18,02:45,165.70
3,2013-09-18,03:00,154.59
3,2013-09-18,03:15,156.52
3,2013-09-18,03:30,173.13
3,2013-09-18,03:45,173.13
3,2013-09-18,04:00,173.13
3,2013-09-18,04:15,163.21
3,2013-09-18,04:30,153.29
3,2013-09-18,04:45,153.29
3,2013-09-18,05:00,150.25
3,2013-09-18,05:15,150.25
3,2013-09-18,05:30,150.16
3,2013-09-18,05:45,150.07
3,2013-09-18,06:00,144.35
3,2013-09-18,06:15,162.23
3,2013-09-18,06:30,170.78
3,2013-09-18,06:45,177.27
3,2013-09-18,07:00,209.79
3,2013-09-18,07:15,233.81
3,2013-09-18,07:30,230.85
3,2013-09-18,07:45,238.94
3,2013-09-18,08:00,225.59
3,2013-09-18,08:15,210.83
