LinkRef,Date,TimePeriod,AverageJT
4,2013-03-06,00:00,75.420000000000002
4,2013-03-06,00:15,74.359999999999999
4,2013-03-06,00:30,75.290000000000006
4,2013-03-06,00:45,80.159999999999997
4,2013-03-06,01:00,78.269999999999996
4,2013-03-06,01:15,70.650000000000006
4,2013-03-06,01:30,74.859999999999999
4,2013-03-06,01:45,76
4,2013-03-06,02:00,76.090000000000003
4,2013-03-06,02:15,75.379999999999995
4,2013-03-06,02:30,77.290000000000006
4,2013-03-06,02:45,76.439999999999998
4,2013-03-06,03:00,68.290000000000006
4,2013-03-06,03:15,73.049999999999997
4,2013-03-06,03:30,72.629999999999995
4,2013-03-06,03:45,77.260000000000005
4,2013-03-06,04:00,73.519999999999996
4,2013-03-06,04:15,73.670000000000002
4,2013-03-06,04:30,73.030000000000001
4,2013-03-06,04:45,72.730000000000004
4,2013-03-06,05:00,69.280000000000001
4,2013-03-06,05:15,70.239999999999995
4,2013-03-06,05:30,68.349999999999994
4,2013-03-06,05:45,66.890000000000001
4,2013-03-06,06:00,68.439999999999998
4,2013-03-06,06:15,71.209999999999994
4,2013-03-06,06:30,73
4,2013-03-06,06:45,74.969999999999999
4,2013-03-06,07:00,81.359999999999999
4,2013-03-06,07:15,84.280000000000001
4,2013-03-06,07:30,92.319999999999993
4,2013-03-06,07:45,89.659999999999997
4,2013-03-06,08:00,92.379999999999995
4,2013-03-06,08:15,93.469999999999999
4,2013-03-06,08:30,93.909999999999997
4,2013-03-06,08:45,91.069999999999993
4,2013-03-06,09:00,72.230000000000004
4,2013-03-06,09:15,72.049999999999997
4,2013-03-06,09:30,72.019999999999996
4,2013-03-06,09:45,70.659999999999997
4,2013-03-06,10:00,69.060000000000002
4,2013-03-06,10:15,70.930000000000007
4,2013-03-06,10:30,70.219999999999999
4,2013-03-06,10:45,70.560000000000002
4,2013-03-06,11:00,70.459999999999994
4,2013-03-06,11:15,71.730000000000004
4,2013-03-06,11:30,72.590000000000003
4,2013-03-06,11:45,70.939999999999998
4,2013-03-06,12:00,70
4,2013-03-06,12:15,70.519999999999996
4,2013-03-06,12:30,69.159999999999997
4,2013-03-06,12:45,69.599999999999994
4,2013-03-06,13:00,68.760000000000005
4,2013-03-06,13:15,71.319999999999993
4,2013-03-06,13:30,69.879999999999995
4,2013-03-06,13:45,70.290000000000006
4,2013-03-06,14:00,71.359999999999999
4,2013-03-06,14:15,70.549999999999997
4,2013-03-06,14:30,69.849999999999994
4,2013-03-06,14:45,70.870000000000005
4,2013-03-06,15:00,70.120000000000005
4,2013-03-06,15:15,71.739999999999995
4,2013-03-06,15:30,69.75
4,2013-03-06,15:45,69.790000000000006
4,2013-03-06,16:00,70.299999999999997
4,2013-03-06,16:15,69.469999999999999
4,2013-03-06,16:30,72.659999999999997
4,2013-03-06,16:45,71.060000000000002
4,2013-03-06,17:00,70.209999999999994
4,2013-03-06,17:15,71.329999999999998
4,2013-03-06,17:30,71.780000000000001
4,2013-03-06,17:45,73.040000000000006
4,2013-03-06,18:00,71.709999999999994
4,2013-03-06,18:15,69.950000000000003
4,2013-03-06,18:30,69.340000000000003
4,2013-03-06,18:45,70.180000000000007
4,2013-03-06,19:00,68.769999999999996
4,2013-03-06,19:15,68.769999999999996
4,2013-03-06,19:30,68.560000000000002
4,2013-03-06,19:45,69.510000000000005
4,2013-03-06,20:00,70.459999999999994
4,2013-03-06,20:15,68.510000000000005
4,2013-03-06,20:30,69.469999999999999
4,2013-03-06,20:45,67.989999999999995
4,2013-03-06,21:00,69.189999999999998
4,2013-03-06,21:15,67.989999999999995
4,2013-03-06,21:30,69.709999999999994
4,2013-03-06,21:45,71.489999999999995
4,2013-03-06,22:00,72.579999999999998
4,2013-03-06,22:15,70.769999999999996
4,2013-03-06,22:30,70.569999999999993
4,2013-03-06,22:45,72.200000000000003
4,2013-03-06,23:00,72.799999999999997
4,2013-03-06,23:15,72.840000000000003
4,2013-03-06,23:30,71.849999999999994
4,2013-03-06,23:45,71.920000000000002
4,2013-03-20,00:00,72.769999999999996
4,2013-03-20,00:15,73.829999999999998
4,2013-03-20,00:30,72.409999999999997
4,2013-03-20,00:45,73.109999999999999
4,2013-03-20,01:00,73.939999999999998
4,2013-03-20,01:15,76.599999999999994
4,2013-03-20,01:30,72.079999999999998
4,2013-03-20,01:45,72.230000000000004
