LinkRef,Date,TimePeriod,AverageJT
4,2013-10-02,00:00,73.21
4,2013-10-02,00:15,76.68
4,2013-10-02,00:30,75.56
4,2013-10-02,00:45,74.89
4,2013-10-02,01:00,75.22
4,2013-10-02,01:15,76.58
4,2013-10-02,01:30,78.48
4,2013-10-02,01:45,75.15
4,2013-10-02,02:00,79.00
4,2013-10-02,02:15,78.66
4,2013-10-02,02:30,76.93
4,2013-10-02,02:45,76.64
4,2013-10-02,03:00,73.69
4,2013-10-02,03:15,76.38
4,2013-10-02,03:30,75.16
4,2013-10-02,03:45,75.58
4,2013-10-02,04:00,73.37
4,2013-10-02,04:15,76.96
4,2013-10-02,04:30,74.17
4,2013-10-02,04:45,70.99
4,2013-10-02,05:00,72.40
4,2013-10-02,05:15,70.10
4,2013-10-02,05:30,70.24
4,2013-10-02,05:45,67.20
4,2013-10-02,06:00,69.37
4,2013-10-02,06:15,72.62
4,2013-10-02,06:30,76.69
4,2013-10-02,06:45,78.88
4,2013-10-02,07:00,99.02
4,2013-10-02,07:15,86.49
4,2013-10-02,07:30,80.55
4,2013-10-02,07:45,83.46
4,2013-10-02,08:00,80.12
4,2013-10-02,08:15,101.07
4,2013-10-02,08:30,97.83
4,2013-10-02,08:45,81.95
4,2013-10-02,09:00,73.19
4,2013-10-02,09:15,71.77
4,2013-10-02,09:30,71.94
4,2013-10-02,09:45,71.89
4,2013-10-02,10:00,70.70
4,2013-10-02,10:15,72.10
4,2013-10-02,10:30,71.50
4,2013-10-02,10:45,71.33
4,2013-10-02,11:00,70.71
4,2013-10-02,11:15,71.62
4,2013-10-02,11:30,70.50
4,2013-10-02,11:45,69.85
4,2013-10-02,12:00,70.04
4,2013-10-02,12:15,71.56
4,2013-10-02,12:30,70.46
4,2013-10-02,12:45,69.16
4,2013-10-02,13:00,69.68
4,2013-10-02,13:15,69.73
4,2013-10-02,13:30,71.53
4,2013-10-02,13:45,71.20
4,2013-10-02,14:00,70.97
4,2013-10-02,14:15,70.92
4,2013-10-02,14:30,71.63
4,2013-10-02,14:45,68.51
4,2013-10-02,15:00,70.31
4,2013-10-02,15:15,68.97
4,2013-10-02,15:30,69.59
4,2013-10-02,15:45,70.19
4,2013-10-02,16:00,74.25
4,2013-10-02,16:15,70.14
4,2013-10-02,16:30,69.73
4,2013-10-02,16:45,70.10
4,2013-10-02,17:00,70.23
4,2013-10-02,17:15,69.59
4,2013-10-02,17:30,70.23
4,2013-10-02,17:45,69.48
4,2013-10-02,18:00,69.73
4,2013-10-02,18:15,70.03
4,2013-10-02,18:30,67.15
4,2013-10-02,18:45,69.24
4,2013-10-02,19:00,68.89
4,2013-10-02,19:15,70.04
4,2013-10-02,19:30,68.80
4,2013-10-02,19:45,70.07
4,2013-10-02,20:00,69.62
4,2013-10-02,20:15,69.06
4,2013-10-02,20:30,68.93
4,2013-10-02,20:45,69.27
4,2013-10-02,21:00,68.02
4,2013-10-02,21:15,66.88
4,2013-10-02,21:30,69.13
4,2013-10-02,21:45,68.68
4,2013-10-02,22:00,69.69
4,2013-10-02,22:15,71.04
4,2013-10-02,22:30,70.42
4,2013-10-02,22:45,70.60
4,2013-10-02,23:00,68.42
4,2013-10-02,23:15,72.81
4,2013-10-02,23:30,71.58
4,2013-10-02,23:45,71.15
4,2013-10-09,00:00,72.47
4,2013-10-09,00:15,77.04
4,2013-10-09,00:30,73.70
4,2013-10-09,00:45,70.67
4,2013-10-09,01:00,77.95
4,2013-10-09,01:15,77.95
4,2013-10-09,01:30,73.16
4,2013-10-09,01:45,74.29
4,2013-10-09,02:00,81.88
4,2013-10-09,02:15,76.05
4,2013-10-09,02:30,75.59
4,2013-10-09,02:45,73.88
4,2013-10-09,03:00,76.94
4,2013-10-09,03:15,75.43
4,2013-10-09,03:30,73.31
4,2013-10-09,03:45,73.57
4,2013-10-09,04:00,70.75
4,2013-10-09,04:15,71.30
4,2013-10-09,04:30,71.38
4,2013-10-09,04:45,71.03
4,2013-10-09,05:00,69.56
4,2013-10-09,05:15,69.07
4,2013-10-09,05:30,69.22
4,2013-10-09,05:45,66.36
4,2013-10-09,06:00,67.88
4,2013-10-09,06:15,67.78
4,2013-10-09,06:30,74.91
4,2013-10-09,06:45,77.12
4,2013-10-09,07:00,85.51
4,2013-10-09,07:15,92.74
4,2013-10-09,07:30,95.13
4,2013-10-09,07:45,93.71
4,2013-10-09,08:00,93.50
4,2013-10-09,08:15,91.07
4,2013-10-09,08:30,91.98
4,2013-10-09,08:45,92.71
4,2013-10-09,09:00,88.77
4,2013-10-09,09:15,70.70
4,2013-10-09,09:30,73.40
4,2013-10-09,09:45,71.65
4,2013-10-09,10:00,72.95
4,2013-10-09,10:15,72.86
4,2013-10-09,10:30,72.96
4,2013-10-09,10:45,69.94
4,2013-10-09,11:00,71.14
4,2013-10-09,11:15,70.69
4,2013-10-09,11:30,69.32
4,2013-10-09,11:45,70.58
4,2013-10-09,12:00,69.35
4,2013-10-09,12:15,71.03
4,2013-10-09,12:30,69.94
4,2013-10-09,12:45,70.66
4,2013-10-09,13:00,70.22
4,2013-10-09,13:15,69.20
