LinkRef,Date,TimePeriod,AverageJT
4,2014-05-01,00:00,70.70
4,2014-05-01,00:15,73.79
4,2014-05-01,00:30,74.47
4,2014-05-01,00:45,72.46
4,2014-05-01,01:00,73.18
4,2014-05-01,01:15,78.71
4,2014-05-01,01:30,74.39
4,2014-05-01,01:45,76.00
4,2014-05-01,02:00,74.80
4,2014-05-01,02:15,75.53
4,2014-05-01,02:30,75.79
4,2014-05-01,02:45,77.68
4,2014-05-01,03:00,75.74
4,2014-05-01,03:15,78.33
4,2014-05-01,03:30,74.39
4,2014-05-01,03:45,75.95
4,2014-05-01,04:00,75.10
4,2014-05-01,04:15,73.20
4,2014-05-01,04:30,74.54
4,2014-05-01,04:45,72.45
4,2014-05-01,05:00,69.26
4,2014-05-01,05:15,68.13
4,2014-05-01,05:30,67.95
4,2014-05-01,05:45,66.71
4,2014-05-01,06:00,68.24
4,2014-05-01,06:15,71.34
4,2014-05-01,06:30,74.48
4,2014-05-01,06:45,77.29
4,2014-05-01,07:00,86.39
4,2014-05-01,07:15,94.50
4,2014-05-01,07:30,95.80
4,2014-05-01,07:45,95.26
4,2014-05-01,08:00,97.15
4,2014-05-01,08:15,95.16
4,2014-05-01,08:30,93.99
4,2014-05-01,08:45,93.15
4,2014-05-01,09:00,90.66
4,2014-05-01,09:15,71.19
4,2014-05-01,09:30,73.24
4,2014-05-01,09:45,71.96
4,2014-05-01,10:00,71.33
4,2014-05-01,10:15,70.59
4,2014-05-01,10:30,71.24
4,2014-05-01,10:45,73.32
4,2014-05-01,11:00,72.53
4,2014-05-01,11:15,71.59
4,2014-05-01,11:30,71.20
4,2014-05-01,11:45,71.85
4,2014-05-01,12:00,71.47
4,2014-05-01,12:15,73.07
4,2014-05-01,12:30,72.80
4,2014-05-01,12:45,72.55
4,2014-05-01,13:00,74.35
4,2014-05-01,13:15,74.32
4,2014-05-01,13:30,72.59
4,2014-05-01,13:45,71.92
4,2014-05-01,14:00,74.33
4,2014-05-01,14:15,73.85
4,2014-05-01,14:30,73.82
4,2014-05-01,14:45,73.87
4,2014-05-01,15:00,74.35
4,2014-05-01,15:15,73.08
4,2014-05-01,15:30,70.95
4,2014-05-01,15:45,69.76
4,2014-05-01,16:00,73.87
4,2014-05-01,16:15,72.22
4,2014-05-01,16:30,69.54
4,2014-05-01,16:45,70.18
4,2014-05-01,17:00,69.48
4,2014-05-01,17:15,70.55
4,2014-05-01,17:30,71.49
4,2014-05-01,17:45,74.28
4,2014-05-01,18:00,71.94
4,2014-05-01,18:15,70.64
4,2014-05-01,18:30,68.74
4,2014-05-01,18:45,66.89
4,2014-05-01,19:00,67.34
4,2014-05-01,19:15,67.33
4,2014-05-01,19:30,68.07
4,2014-05-01,19:45,66.99
4,2014-05-01,20:00,67.62
4,2014-05-01,20:15,66.41
4,2014-05-01,20:30,67.68
4,2014-05-01,20:45,71.49
4,2014-05-01,21:00,68.75
4,2014-05-01,21:15,70.49
4,2014-05-01,21:30,70.15
4,2014-05-01,21:45,71.40
4,2014-05-01,22:00,74.06
4,2014-05-01,22:15,70.94
4,2014-05-01,22:30,73.04
4,2014-05-01,22:45,75.03
4,2014-05-01,23:00,71.70
4,2014-05-01,23:15,75.19
4,2014-05-01,23:30,71.58
4,2014-05-01,23:45,71.67
4,2014-05-08,00:00,72.00
4,2014-05-08,00:15,74.01
4,2014-05-08,00:30,76.20
4,2014-05-08,00:45,73.54
4,2014-05-08,01:00,75.80
4,2014-05-08,01:15,72.88
4,2014-05-08,01:30,76.30
4,2014-05-08,01:45,74.49
4,2014-05-08,02:00,74.08
4,2014-05-08,02:15,76.47
4,2014-05-08,02:30,78.71
4,2014-05-08,02:45,71.76
4,2014-05-08,03:00,73.25
4,2014-05-08,03:15,71.78
4,2014-05-08,03:30,74.94
4,2014-05-08,03:45,72.06
4,2014-05-08,04:00,74.30
4,2014-05-08,04:15,69.63
4,2014-05-08,04:30,71.65
4,2014-05-08,04:45,71.02
4,2014-05-08,05:00,68.59
4,2014-05-08,05:15,68.29
4,2014-05-08,05:30,64.96
4,2014-05-08,05:45,65.96
4,2014-05-08,06:00,67.74
4,2014-05-08,06:15,71.67
4,2014-05-08,06:30,75.41
4,2014-05-08,06:45,75.80
4,2014-05-08,07:00,78.26
4,2014-05-08,07:15,84.40
4,2014-05-08,07:30,84.56
4,2014-05-08,07:45,92.52
4,2014-05-08,08:00,95.10
4,2014-05-08,08:15,97.90
4,2014-05-08,08:30,101.15
4,2014-05-08,08:45,101.13
4,2014-05-08,09:00,100.75
4,2014-05-08,09:15,103.14
4,2014-05-08,09:30,99.83
4,2014-05-08,09:45,105.42
4,2014-05-08,10:00,102.65
4,2014-05-08,10:15,103.74
4,2014-05-08,10:30,89.55
4,2014-05-08,10:45,73.44
4,2014-05-08,11:00,74.78
4,2014-05-08,11:15,74.49
4,2014-05-08,11:30,74.16
4,2014-05-08,11:45,74.24
4,2014-05-08,12:00,73.45
4,2014-05-08,12:15,72.21
4,2014-05-08,12:30,70.58
4,2014-05-08,12:45,72.53
4,2014-05-08,13:00,70.58
4,2014-05-08,13:15,70.48
4,2014-05-08,13:30,72.35
4,2014-05-08,13:45,70.64
4,2014-05-08,14:00,71.57
4,2014-05-08,14:15,71.64
4,2014-05-08,14:30,69.60
4,2014-05-08,14:45,73.59
4,2014-05-08,15:00,71.37
4,2014-05-08,15:15,71.64
4,2014-05-08,15:30,70.78
4,2014-05-08,15:45,70.91
4,2014-05-08,16:00,71.99
4,2014-05-08,16:15,70.31
4,2014-05-08,16:30,70.60
4,2014-05-08,16:45,71.59
4,2014-05-08,17:00,70.25
4,2014-05-08,17:15,73.10
4,2014-05-08,17:30,69.59
4,2014-05-08,17:45,68.72
4,2014-05-08,18:00,67.32
4,2014-05-08,18:15,67.72
4,2014-05-08,18:30,66.83
4,2014-05-08,18:45,65.95
4,2014-05-08,19:00,64.89
4,2014-05-08,19:15,65.24
4,2014-05-08,19:30,66.14
4,2014-05-08,19:45,66.59
4,2014-05-08,20:00,66.91
4,2014-05-08,20:15,65.03
4,2014-05-08,20:30,66.26
4,2014-05-08,20:45,68.10
4,2014-05-08,21:00,66.46
4,2014-05-08,21:15,67.93
4,2014-05-08,21:30,68.13
4,2014-05-08,21:45,68.36
4,2014-05-08,22:00,67.87
4,2014-05-08,22:15,68.82
4,2014-05-08,22:30,69.88
4,2014-05-08,22:45,69.82
4,2014-05-08,23:00,68.01
4,2014-05-08,23:15,67.54
4,2014-05-08,23:30,69.14
4,2014-05-08,23:45,73.54
4,2014-05-15,00:00,74.77
4,2014-05-15,00:15,73.21
4,2014-05-15,00:30,73.52
4,2014-05-15,00:45,77.35
4,2014-05-15,01:00,76.64
4,2014-05-15,01:15,74.42
4,2014-05-15,01:30,74.26
4,2014-05-15,01:45,73.17
4,2014-05-15,02:00,74.00
4,2014-05-15,02:15,70.69
4,2014-05-15,02:30,75.41
4,2014-05-15,02:45,74.81
4,2014-05-15,03:00,71.81
4,2014-05-15,03:15,72.79
4,2014-05-15,03:30,73.89
4,2014-05-15,03:45,70.88
4,2014-05-15,04:00,69.97
4,2014-05-15,04:15,74.16
4,2014-05-15,04:30,71.94
4,2014-05-15,04:45,71.77
4,2014-05-15,05:00,67.84
4,2014-05-15,05:15,65.25
4,2014-05-15,05:30,67.78
4,2014-05-15,05:45,66.51
4,2014-05-15,06:00,68.09
4,2014-05-15,06:15,71.20
4,2014-05-15,06:30,77.10
4,2014-05-15,06:45,76.68
4,2014-05-15,07:00,77.85
4,2014-05-15,07:15,82.18
4,2014-05-15,07:30,88.84
4,2014-05-15,07:45,91.44
4,2014-05-15,08:00,91.96
4,2014-05-15,08:15,94.10
4,2014-05-15,08:30,91.99
4,2014-05-15,08:45,94.16
4,2014-05-15,09:00,93.62
4,2014-05-15,09:15,74.14
4,2014-05-15,09:30,72.39
4,2014-05-15,09:45,72.26
4,2014-05-15,10:00,71.55
4,2014-05-15,10:15,74.15
4,2014-05-15,10:30,72.48
4,2014-05-15,10:45,73.44
4,2014-05-15,11:00,70.45
4,2014-05-15,11:15,71.09
4,2014-05-15,11:30,71.72
4,2014-05-15,11:45,72.83
4,2014-05-15,12:00,70.66
4,2014-05-15,12:15,71.66
4,2014-05-15,12:30,71.10
4,2014-05-15,12:45,72.10
4,2014-05-15,13:00,71.92
4,2014-05-15,13:15,71.52
4,2014-05-15,13:30,71.51
4,2014-05-15,13:45,70.05
4,2014-05-15,14:00,72.23
4,2014-05-15,14:15,73.37
4,2014-05-15,14:30,71.98
4,2014-05-15,14:45,70.97
4,2014-05-15,15:00,70.26
4,2014-05-15,15:15,71.07
4,2014-05-15,15:30,70.58
4,2014-05-15,15:45,76.08
4,2014-05-15,16:00,73.52
4,2014-05-15,16:15,71.03
4,2014-05-15,16:30,69.91
4,2014-05-15,16:45,71.99
4,2014-05-15,17:00,70.97
4,2014-05-15,17:15,71.69
4,2014-05-15,17:30,68.40
4,2014-05-15,17:45,75.16
4,2014-05-15,18:00,74.56
4,2014-05-15,18:15,69.41
4,2014-05-15,18:30,68.41
4,2014-05-15,18:45,66.84
4,2014-05-15,19:00,67.98
4,2014-05-15,19:15,65.30
4,2014-05-15,19:30,66.30
4,2014-05-15,19:45,67.41
4,2014-05-15,20:00,67.88
4,2014-05-15,20:15,66.84
4,2014-05-15,20:30,67.66
4,2014-05-15,20:45,67.31
4,2014-05-15,21:00,67.42
4,2014-05-15,21:15,68.56
4,2014-05-15,21:30,69.19
4,2014-05-15,21:45,67.40
4,2014-05-15,22:00,68.09
4,2014-05-15,22:15,70.44
4,2014-05-15,22:30,67.21
4,2014-05-15,22:45,69.15
4,2014-05-15,23:00,69.09
4,2014-05-15,23:15,69.05
4,2014-05-15,23:30,70.40
4,2014-05-15,23:45,69.64
4,2014-05-22,00:00,72.25
4,2014-05-22,00:15,75.09
4,2014-05-22,00:30,75.32
4,2014-05-22,00:45,75.19
4,2014-05-22,01:00,74.07
4,2014-05-22,01:15,76.54
4,2014-05-22,01:30,78.46
4,2014-05-22,01:45,78.17
4,2014-05-22,02:00,79.33
4,2014-05-22,02:15,78.52
4,2014-05-22,02:30,76.54
4,2014-05-22,02:45,77.79
4,2014-05-22,03:00,77.87
4,2014-05-22,03:15,75.89
4,2014-05-22,03:30,75.93
4,2014-05-22,03:45,75.16
4,2014-05-22,04:00,72.95
4,2014-05-22,04:15,72.87
4,2014-05-22,04:30,73.03
4,2014-05-22,04:45,71.02
4,2014-05-22,05:00,67.53
4,2014-05-22,05:15,67.42
4,2014-05-22,05:30,68.08
4,2014-05-22,05:45,66.90
4,2014-05-22,06:00,68.01
4,2014-05-22,06:15,72.91
4,2014-05-22,06:30,73.56
4,2014-05-22,06:45,76.68
4,2014-05-22,07:00,82.47
4,2014-05-22,07:15,84.35
4,2014-05-22,07:30,94.29
4,2014-05-22,07:45,93.59
4,2014-05-22,08:00,95.87
4,2014-05-22,08:15,94.64
4,2014-05-22,08:30,95.03
4,2014-05-22,08:45,97.97
4,2014-05-22,09:00,99.42
4,2014-05-22,09:15,76.19
4,2014-05-22,09:30,73.66
4,2014-05-22,09:45,74.23
4,2014-05-22,10:00,75.45
4,2014-05-22,10:15,72.14
4,2014-05-22,10:30,71.95
4,2014-05-22,10:45,72.74
4,2014-05-22,11:00,71.57
4,2014-05-22,11:15,72.76
4,2014-05-22,11:30,71.74
4,2014-05-22,11:45,73.55
4,2014-05-22,12:00,72.87
4,2014-05-22,12:15,72.13
4,2014-05-22,12:30,72.67
4,2014-05-22,12:45,74.17
4,2014-05-22,13:00,74.08
4,2014-05-22,13:15,85.06
4,2014-05-22,13:30,95.49
4,2014-05-22,13:45,93.95
4,2014-05-22,14:00,76.61
4,2014-05-22,14:15,75.94
4,2014-05-22,14:30,73.26
4,2014-05-22,14:45,72.07
4,2014-05-22,15:00,70.57
4,2014-05-22,15:15,71.65
4,2014-05-22,15:30,71.92
4,2014-05-22,15:45,70.18
4,2014-05-22,16:00,72.95
4,2014-05-22,16:15,70.09
4,2014-05-22,16:30,71.82
4,2014-05-22,16:45,70.88
4,2014-05-22,17:00,72.17
4,2014-05-22,17:15,75.19
4,2014-05-22,17:30,70.16
4,2014-05-22,17:45,71.02
4,2014-05-22,18:00,70.56
4,2014-05-22,18:15,69.85
4,2014-05-22,18:30,70.18
4,2014-05-22,18:45,70.58
4,2014-05-22,19:00,68.87
4,2014-05-22,19:15,68.02
4,2014-05-22,19:30,67.01
4,2014-05-22,19:45,68.19
4,2014-05-22,20:00,68.39
4,2014-05-22,20:15,69.38
4,2014-05-22,20:30,68.85
4,2014-05-22,20:45,70.38
4,2014-05-22,21:00,69.58
4,2014-05-22,21:15,68.17
4,2014-05-22,21:30,71.03
4,2014-05-22,21:45,72.23
4,2014-05-22,22:00,75.40
4,2014-05-22,22:15,73.36
4,2014-05-22,22:30,73.00
4,2014-05-22,22:45,73.37
4,2014-05-22,23:00,72.46
4,2014-05-22,23:15,70.86
4,2014-05-22,23:30,72.74
4,2014-05-22,23:45,72.57
4,2014-05-29,00:00,69.99
4,2014-05-29,00:15,71.04
4,2014-05-29,00:30,74.39
4,2014-05-29,00:45,70.50
4,2014-05-29,01:00,74.39
4,2014-05-29,01:15,78.61
4,2014-05-29,01:30,74.61
4,2014-05-29,01:45,71.29
4,2014-05-29,02:00,75.79
4,2014-05-29,02:15,74.92
4,2014-05-29,02:30,77.17
4,2014-05-29,02:45,74.02
4,2014-05-29,03:00,74.58
4,2014-05-29,03:15,75.44
4,2014-05-29,03:30,73.32
4,2014-05-29,03:45,70.92
4,2014-05-29,04:00,72.53
4,2014-05-29,04:15,74.12
4,2014-05-29,04:30,72.91
4,2014-05-29,04:45,73.50
4,2014-05-29,05:00,69.73
4,2014-05-29,05:15,69.03
4,2014-05-29,05:30,67.95
4,2014-05-29,05:45,65.85
4,2014-05-29,06:00,67.17
4,2014-05-29,06:15,68.98
4,2014-05-29,06:30,71.50
4,2014-05-29,06:45,72.52
4,2014-05-29,07:00,75.62
4,2014-05-29,07:15,77.74
4,2014-05-29,07:30,76.70
4,2014-05-29,07:45,78.52
4,2014-05-29,08:00,76.95
4,2014-05-29,08:15,75.25
4,2014-05-29,08:30,76.22
4,2014-05-29,08:45,72.83
4,2014-05-29,09:00,74.01
4,2014-05-29,09:15,73.25
4,2014-05-29,09:30,72.93
4,2014-05-29,09:45,74.08
4,2014-05-29,10:00,73.47
4,2014-05-29,10:15,74.36
4,2014-05-29,10:30,74.07
4,2014-05-29,10:45,72.61
4,2014-05-29,11:00,77.84
4,2014-05-29,11:15,72.77
4,2014-05-29,11:30,71.73
4,2014-05-29,11:45,73.03
4,2014-05-29,12:00,73.30
4,2014-05-29,12:15,71.01
4,2014-05-29,12:30,71.90
4,2014-05-29,12:45,71.90
4,2014-05-29,13:00,74.10
4,2014-05-29,13:15,76.30
4,2014-05-29,13:30,74.67
4,2014-05-29,13:45,74.98
4,2014-05-29,14:00,75.63
4,2014-05-29,14:15,76.20
4,2014-05-29,14:30,76.19
4,2014-05-29,14:45,72.18
4,2014-05-29,15:00,71.61
4,2014-05-29,15:15,72.44
4,2014-05-29,15:30,72.81
4,2014-05-29,15:45,72.60
4,2014-05-29,16:00,71.13
4,2014-05-29,16:15,71.62
4,2014-05-29,16:30,77.70
4,2014-05-29,16:45,73.53
4,2014-05-29,17:00,72.65
4,2014-05-29,17:15,71.16
4,2014-05-29,17:30,71.27
4,2014-05-29,17:45,70.74
4,2014-05-29,18:00,71.08
4,2014-05-29,18:15,69.80
4,2014-05-29,18:30,67.99
4,2014-05-29,18:45,69.02
4,2014-05-29,19:00,69.20
4,2014-05-29,19:15,67.77
4,2014-05-29,19:30,65.92
4,2014-05-29,19:45,67.41
4,2014-05-29,20:00,66.86
4,2014-05-29,20:15,68.03
4,2014-05-29,20:30,65.45
4,2014-05-29,20:45,65.24
4,2014-05-29,21:00,65.51
4,2014-05-29,21:15,68.16
4,2014-05-29,21:30,67.30
4,2014-05-29,21:45,66.45
4,2014-05-29,22:00,69.44
4,2014-05-29,22:15,68.70
4,2014-05-29,22:30,69.77
4,2014-05-29,22:45,67.44
4,2014-05-29,23:00,69.14
4,2014-05-29,23:15,70.59
4,2014-05-29,23:30,68.81
4,2014-05-29,23:45,66.26
3,2014-05-01,00:00,169.81
3,2014-05-01,00:15,169.81
3,2014-05-01,00:30,169.81
3,2014-05-01,00:45,169.81
3,2014-05-01,01:00,169.81
3,2014-05-01,01:15,169.59
3,2014-05-01,01:30,161.34
3,2014-05-01,01:45,157.26
3,2014-05-01,02:00,161.13
3,2014-05-01,02:15,115.97
3,2014-05-01,02:30,115.97
3,2014-05-01,02:45,115.97
3,2014-05-01,03:00,115.97
3,2014-05-01,03:15,134.08
3,2014-05-01,03:30,152.18
3,2014-05-01,03:45,152.18
3,2014-05-01,04:00,130.74
3,2014-05-01,04:15,130.74
3,2014-05-01,04:30,145.47
3,2014-05-01,04:45,160.20
3,2014-05-01,05:00,160.20
3,2014-05-01,05:15,132.30
3,2014-05-01,05:30,139.65
3,2014-05-01,05:45,140.01
3,2014-05-01,06:00,140.15
3,2014-05-01,06:15,153.10
3,2014-05-01,06:30,165.45
3,2014-05-01,06:45,197.71
3,2014-05-01,07:00,208.08
3,2014-05-01,07:15,192.01
3,2014-05-01,07:30,231.02
3,2014-05-01,07:45,232.01
3,2014-05-01,08:00,264.26
3,2014-05-01,08:15,228.90
3,2014-05-01,08:30,259.32
3,2014-05-01,08:45,255.40
3,2014-05-01,09:00,163.95
3,2014-05-01,09:15,159.83
3,2014-05-01,09:30,158.52
3,2014-05-01,09:45,153.66
3,2014-05-01,10:00,154.25
3,2014-05-01,10:15,142.75
3,2014-05-01,10:30,162.01
3,2014-05-01,10:45,152.29
3,2014-05-01,11:00,158.28
3,2014-05-01,11:15,161.07
3,2014-05-01,11:30,140.95
3,2014-05-01,11:45,145.13
3,2014-05-01,12:00,164.45
3,2014-05-01,12:15,154.48
3,2014-05-01,12:30,163.08
3,2014-05-01,12:45,153.78
3,2014-05-01,13:00,162.78
3,2014-05-01,13:15,179.65
3,2014-05-01,13:30,155.32
3,2014-05-01,13:45,150.36
3,2014-05-01,14:00,152.94
3,2014-05-01,14:15,166.06
3,2014-05-01,14:30,158.57
3,2014-05-01,14:45,154.01
3,2014-05-01,15:00,154.38
3,2014-05-01,15:15,148.50
3,2014-05-01,15:30,154.85
3,2014-05-01,15:45,152.88
3,2014-05-01,16:00,156.93
3,2014-05-01,16:15,154.94
3,2014-05-01,16:30,163.21
3,2014-05-01,16:45,154.73
3,2014-05-01,17:00,152.82
3,2014-05-01,17:15,152.80
3,2014-05-01,17:30,157.16
3,2014-05-01,17:45,151.54
3,2014-05-01,18:00,153.74
3,2014-05-01,18:15,148.27
3,2014-05-01,18:30,127.20
3,2014-05-01,18:45,139.01
3,2014-05-01,19:00,139.79
3,2014-05-01,19:15,155.19
3,2014-05-01,19:30,145.60
3,2014-05-01,19:45,128.71
3,2014-05-01,20:00,148.75
3,2014-05-01,20:15,131.24
3,2014-05-01,20:30,142.51
3,2014-05-01,20:45,150.21
3,2014-05-01,21:00,157.91
3,2014-05-01,21:15,143.12
3,2014-05-01,21:30,143.92
3,2014-05-01,21:45,114.93
3,2014-05-01,22:00,114.93
3,2014-05-01,22:15,114.93
3,2014-05-01,22:30,148.68
3,2014-05-01,22:45,150.31
3,2014-05-01,23:00,148.93
3,2014-05-01,23:15,151.43
3,2014-05-01,23:30,148.35
3,2014-05-01,23:45,151.14
3,2014-05-08,00:00,158.15
3,2014-05-08,00:15,157.44
3,2014-05-08,00:30,156.80
3,2014-05-08,00:45,150.31
3,2014-05-08,01:00,160.13
3,2014-05-08,01:15,155.86
3,2014-05-08,01:30,163.91
3,2014-05-08,01:45,156.79
3,2014-05-08,02:00,160.63
3,2014-05-08,02:15,157.06
3,2014-05-08,02:30,163.73
3,2014-05-08,02:45,158.34
3,2014-05-08,03:00,156.82
3,2014-05-08,03:15,160.27
3,2014-05-08,03:30,152.25
3,2014-05-08,03:45,152.25
3,2014-05-08,04:00,152.25
3,2014-05-08,04:15,152.25
3,2014-05-08,04:30,138.85
3,2014-05-08,04:45,138.85
3,2014-05-08,05:00,135.30
3,2014-05-08,05:15,134.72
3,2014-05-08,05:30,138.23
3,2014-05-08,05:45,141.02
3,2014-05-08,06:00,146.42
3,2014-05-08,06:15,157.31
3,2014-05-08,06:30,162.46
3,2014-05-08,06:45,173.42
3,2014-05-08,07:00,178.07
3,2014-05-08,07:15,213.07
3,2014-05-08,07:30,234.79
3,2014-05-08,07:45,220.66
3,2014-05-08,08:00,205.94
3,2014-05-08,08:15,287.82
3,2014-05-08,08:30,381.57
3,2014-05-08,08:45,243.82
3,2014-05-08,09:00,293.60
3,2014-05-08,09:15,330.46
3,2014-05-08,09:30,275.37
3,2014-05-08,09:45,349.84
3,2014-05-08,10:00,249.52
3,2014-05-08,10:15,237.65
3,2014-05-08,10:30,154.07
3,2014-05-08,10:45,151.67
3,2014-05-08,11:00,154.57
3,2014-05-08,11:15,160.28
3,2014-05-08,11:30,156.98
3,2014-05-08,11:45,151.42
3,2014-05-08,12:00,147.05
3,2014-05-08,12:15,166.08
3,2014-05-08,12:30,170.64
3,2014-05-08,12:45,153.71
3,2014-05-08,13:00,149.72
3,2014-05-08,13:15,152.20
3,2014-05-08,13:30,155.15
3,2014-05-08,13:45,143.85
3,2014-05-08,14:00,154.25
3,2014-05-08,14:15,151.48
3,2014-05-08,14:30,159.70
3,2014-05-08,14:45,146.53
3,2014-05-08,15:00,152.69
3,2014-05-08,15:15,149.64
3,2014-05-08,15:30,145.09
3,2014-05-08,15:45,154.58
3,2014-05-08,16:00,157.24
3,2014-05-08,16:15,146.95
3,2014-05-08,16:30,157.74
3,2014-05-08,16:45,149.31
3,2014-05-08,17:00,147.49
3,2014-05-08,17:15,148.00
3,2014-05-08,17:30,150.40
3,2014-05-08,17:45,145.73
3,2014-05-08,18:00,144.78
3,2014-05-08,18:15,143.92
3,2014-05-08,18:30,150.72
3,2014-05-08,18:45,146.09
3,2014-05-08,19:00,143.20
3,2014-05-08,19:15,140.69
3,2014-05-08,19:30,138.17
3,2014-05-08,19:45,138.17
3,2014-05-08,20:00,152.21
3,2014-05-08,20:15,152.21
3,2014-05-08,20:30,145.33
3,2014-05-08,20:45,138.44
3,2014-05-08,21:00,130.48
3,2014-05-08,21:15,136.68
3,2014-05-08,21:30,165.39
3,2014-05-08,21:45,194.09
3,2014-05-08,22:00,153.20
3,2014-05-08,22:15,112.30
3,2014-05-08,22:30,135.21
3,2014-05-08,22:45,158.11
3,2014-05-08,23:00,142.97
3,2014-05-08,23:15,127.83
3,2014-05-08,23:30,127.83
3,2014-05-08,23:45,127.83
3,2014-05-15,00:00,148.68
3,2014-05-15,00:15,148.68
3,2014-05-15,00:30,148.68
3,2014-05-15,00:45,148.68
3,2014-05-15,01:00,148.68
3,2014-05-15,01:15,162.46
3,2014-05-15,01:30,158.15
3,2014-05-15,01:45,234.59
3,2014-05-15,02:00,234.59
3,2014-05-15,02:15,234.59
3,2014-05-15,02:30,149.46
3,2014-05-15,02:45,149.46
3,2014-05-15,03:00,149.46
3,2014-05-15,03:15,151.65
3,2014-05-15,03:30,156.72
3,2014-05-15,03:45,146.85
3,2014-05-15,04:00,153.17
3,2014-05-15,04:15,153.17
3,2014-05-15,04:30,153.17
3,2014-05-15,04:45,149.63
3,2014-05-15,05:00,146.09
3,2014-05-15,05:15,135.04
3,2014-05-15,05:30,145.75
3,2014-05-15,05:45,139.11
3,2014-05-15,06:00,140.86
3,2014-05-15,06:15,147.41
3,2014-05-15,06:30,149.38
3,2014-05-15,06:45,192.02
3,2014-05-15,07:00,181.47
3,2014-05-15,07:15,179.78
3,2014-05-15,07:30,194.93
