LinkRef,Date,TimePeriod,AverageJT
4,2014-03-06,00:00,76.10
4,2014-03-06,00:15,73.71
4,2014-03-06,00:30,71.04
4,2014-03-06,00:45,77.35
4,2014-03-06,01:00,73.55
4,2014-03-06,01:15,77.80
4,2014-03-06,01:30,72.09
4,2014-03-06,01:45,76.96
4,2014-03-06,02:00,75.93
4,2014-03-06,02:15,75.30
4,2014-03-06,02:30,76.09
4,2014-03-06,02:45,76.10
4,2014-03-06,03:00,72.07
4,2014-03-06,03:15,72.21
4,2014-03-06,03:30,78.39
4,2014-03-06,03:45,73.28
4,2014-03-06,04:00,74.05
4,2014-03-06,04:15,72.34
4,2014-03-06,04:30,72.91
4,2014-03-06,04:45,72.40
4,2014-03-06,05:00,70.58
4,2014-03-06,05:15,69.51
4,2014-03-06,05:30,68.87
4,2014-03-06,05:45,67.51
4,2014-03-06,06:00,69.37
4,2014-03-06,06:15,72.05
4,2014-03-06,06:30,73.63
4,2014-03-06,06:45,76.53
4,2014-03-06,07:00,80.87
4,2014-03-06,07:15,79.49
4,2014-03-06,07:30,79.05
4,2014-03-06,07:45,80.30
4,2014-03-06,08:00,84.57
4,2014-03-06,08:15,89.90
4,2014-03-06,08:30,92.59
4,2014-03-06,08:45,92.88
4,2014-03-06,09:00,76.45
4,2014-03-06,09:15,72.23
4,2014-03-06,09:30,72.66
4,2014-03-06,09:45,72.24
4,2014-03-06,10:00,72.44
4,2014-03-06,10:15,71.28
4,2014-03-06,10:30,70.38
4,2014-03-06,10:45,70.29
4,2014-03-06,11:00,69.73
4,2014-03-06,11:15,69.17
4,2014-03-06,11:30,70.25
4,2014-03-06,11:45,70.04
4,2014-03-06,12:00,69.69
4,2014-03-06,12:15,70.40
4,2014-03-06,12:30,69.29
4,2014-03-06,12:45,70.15
4,2014-03-06,13:00,69.42
4,2014-03-06,13:15,70.68
4,2014-03-06,13:30,69.39
4,2014-03-06,13:45,69.90
4,2014-03-06,14:00,70.44
4,2014-03-06,14:15,69.96
4,2014-03-06,14:30,70.75
4,2014-03-06,14:45,69.92
4,2014-03-06,15:00,70.60
4,2014-03-06,15:15,70.01
4,2014-03-06,15:30,70.25
4,2014-03-06,15:45,72.23
4,2014-03-06,16:00,70.30
4,2014-03-06,16:15,70.87
4,2014-03-06,16:30,70.42
4,2014-03-06,16:45,69.92
4,2014-03-06,17:00,70.34
4,2014-03-06,17:15,70.41
4,2014-03-06,17:30,68.73
4,2014-03-06,17:45,69.51
4,2014-03-06,18:00,78.97
4,2014-03-06,18:15,73.67
4,2014-03-06,18:30,72.40
4,2014-03-06,18:45,71.46
4,2014-03-06,19:00,68.55
4,2014-03-06,19:15,68.77
4,2014-03-06,19:30,69.72
4,2014-03-06,19:45,70.74
4,2014-03-06,20:00,69.03
4,2014-03-06,20:15,69.33
4,2014-03-06,20:30,70.47
4,2014-03-06,20:45,67.45
4,2014-03-06,21:00,68.31
4,2014-03-06,21:15,68.36
4,2014-03-06,21:30,68.50
4,2014-03-06,21:45,69.24
4,2014-03-06,22:00,70.30
4,2014-03-06,22:15,69.97
4,2014-03-06,22:30,70.38
4,2014-03-06,22:45,70.25
4,2014-03-06,23:00,67.85
4,2014-03-06,23:15,67.87
4,2014-03-06,23:30,66.63
4,2014-03-06,23:45,70.26
4,2014-03-13,00:00,74.14
4,2014-03-13,00:15,71.67
4,2014-03-13,00:30,70.35
4,2014-03-13,00:45,77.06
4,2014-03-13,01:00,80.78
4,2014-03-13,01:15,74.96
4,2014-03-13,01:30,75.57
4,2014-03-13,01:45,80.81
4,2014-03-13,02:00,75.80
4,2014-03-13,02:15,78.76
4,2014-03-13,02:30,81.00
4,2014-03-13,02:45,79.75
4,2014-03-13,03:00,79.09
4,2014-03-13,03:15,80.17
4,2014-03-13,03:30,74.56
4,2014-03-13,03:45,75.78
4,2014-03-13,04:00,75.78
4,2014-03-13,04:15,74.61
4,2014-03-13,04:30,74.36
4,2014-03-13,04:45,74.11
4,2014-03-13,05:00,70.83
4,2014-03-13,05:15,69.12
4,2014-03-13,05:30,69.23
4,2014-03-13,05:45,68.29
4,2014-03-13,06:00,68.25
4,2014-03-13,06:15,70.73
4,2014-03-13,06:30,73.25
4,2014-03-13,06:45,78.84
4,2014-03-13,07:00,88.85
4,2014-03-13,07:15,93.48
4,2014-03-13,07:30,96.83
4,2014-03-13,07:45,94.84
4,2014-03-13,08:00,96.73
4,2014-03-13,08:15,108.26
4,2014-03-13,08:30,93.32
4,2014-03-13,08:45,94.57
4,2014-03-13,09:00,98.26
4,2014-03-13,09:15,96.34
4,2014-03-13,09:30,74.78
4,2014-03-13,09:45,73.12
4,2014-03-13,10:00,73.84
4,2014-03-13,10:15,71.74
4,2014-03-13,10:30,73.00
4,2014-03-13,10:45,73.74
4,2014-03-13,11:00,71.35
4,2014-03-13,11:15,72.52
4,2014-03-13,11:30,71.05
4,2014-03-13,11:45,71.95
4,2014-03-13,12:00,71.99
4,2014-03-13,12:15,70.84
4,2014-03-13,12:30,70.85
4,2014-03-13,12:45,70.63
4,2014-03-13,13:00,71.26
4,2014-03-13,13:15,70.24
4,2014-03-13,13:30,72.27
4,2014-03-13,13:45,69.74
4,2014-03-13,14:00,70.02
4,2014-03-13,14:15,69.94
4,2014-03-13,14:30,70.94
4,2014-03-13,14:45,71.20
4,2014-03-13,15:00,70.21
4,2014-03-13,15:15,70.33
4,2014-03-13,15:30,70.42
4,2014-03-13,15:45,71.51
4,2014-03-13,16:00,70.75
4,2014-03-13,16:15,71.97
4,2014-03-13,16:30,73.21
4,2014-03-13,16:45,70.83
4,2014-03-13,17:00,69.10
4,2014-03-13,17:15,70.82
4,2014-03-13,17:30,70.42
4,2014-03-13,17:45,70.04
4,2014-03-13,18:00,69.28
4,2014-03-13,18:15,70.06
4,2014-03-13,18:30,71.15
4,2014-03-13,18:45,69.01
4,2014-03-13,19:00,67.77
4,2014-03-13,19:15,70.19
4,2014-03-13,19:30,68.87
4,2014-03-13,19:45,67.99
4,2014-03-13,20:00,70.18
4,2014-03-13,20:15,70.44
4,2014-03-13,20:30,69.33
4,2014-03-13,20:45,69.10
4,2014-03-13,21:00,70.63
4,2014-03-13,21:15,67.56
4,2014-03-13,21:30,69.04
4,2014-03-13,21:45,69.32
4,2014-03-13,22:00,70.40
4,2014-03-13,22:15,70.39
4,2014-03-13,22:30,71.49
4,2014-03-13,22:45,68.26
4,2014-03-13,23:00,70.01
4,2014-03-13,23:15,70.40
4,2014-03-13,23:30,72.12
4,2014-03-13,23:45,71.55
4,2014-03-20,00:00,72.17
4,2014-03-20,00:15,72.15
4,2014-03-20,00:30,71.40
4,2014-03-20,00:45,75.13
4,2014-03-20,01:00,71.82
4,2014-03-20,01:15,74.20
4,2014-03-20,01:30,72.38
4,2014-03-20,01:45,76.95
4,2014-03-20,02:00,70.64
4,2014-03-20,02:15,80.80
4,2014-03-20,02:30,73.20
4,2014-03-20,02:45,72.37
4,2014-03-20,03:00,74.45
4,2014-03-20,03:15,74.53
4,2014-03-20,03:30,70.90
4,2014-03-20,03:45,70.90
4,2014-03-20,04:00,76.10
4,2014-03-20,04:15,71.15
4,2014-03-20,04:30,71.19
4,2014-03-20,04:45,69.90
4,2014-03-20,05:00,68.09
4,2014-03-20,05:15,67.59
4,2014-03-20,05:30,66.62
4,2014-03-20,05:45,66.62
4,2014-03-20,06:00,67.96
4,2014-03-20,06:15,69.71
4,2014-03-20,06:30,77.65
4,2014-03-20,06:45,76.13
4,2014-03-20,07:00,76.56
4,2014-03-20,07:15,80.39
4,2014-03-20,07:30,81.41
4,2014-03-20,07:45,78.09
4,2014-03-20,08:00,89.47
4,2014-03-20,08:15,91.34
4,2014-03-20,08:30,92.84
4,2014-03-20,08:45,83.15
4,2014-03-20,09:00,70.46
4,2014-03-20,09:15,72.57
4,2014-03-20,09:30,69.03
4,2014-03-20,09:45,71.43
4,2014-03-20,10:00,70.18
4,2014-03-20,10:15,70.15
4,2014-03-20,10:30,70.98
4,2014-03-20,10:45,69.51
4,2014-03-20,11:00,71.40
4,2014-03-20,11:15,70.26
4,2014-03-20,11:30,70.27
4,2014-03-20,11:45,70.49
4,2014-03-20,12:00,70.65
4,2014-03-20,12:15,70.29
4,2014-03-20,12:30,69.79
4,2014-03-20,12:45,69.19
4,2014-03-20,13:00,69.39
4,2014-03-20,13:15,71.74
4,2014-03-20,13:30,69.54
4,2014-03-20,13:45,69.86
4,2014-03-20,14:00,70.10
4,2014-03-20,14:15,72.23
4,2014-03-20,14:30,69.19
4,2014-03-20,14:45,69.04
4,2014-03-20,15:00,69.04
4,2014-03-20,15:15,69.46
4,2014-03-20,15:30,70.02
4,2014-03-20,15:45,69.07
4,2014-03-20,16:00,70.25
4,2014-03-20,16:15,70.56
4,2014-03-20,16:30,71.30
4,2014-03-20,16:45,70.76
4,2014-03-20,17:00,71.24
4,2014-03-20,17:15,69.38
4,2014-03-20,17:30,71.82
4,2014-03-20,17:45,73.07
4,2014-03-20,18:00,72.95
4,2014-03-20,18:15,75.29
4,2014-03-20,18:30,70.91
4,2014-03-20,18:45,70.62
4,2014-03-20,19:00,71.27
4,2014-03-20,19:15,72.21
4,2014-03-20,19:30,73.71
4,2014-03-20,19:45,73.04
4,2014-03-20,20:00,72.08
4,2014-03-20,20:15,72.53
4,2014-03-20,20:30,72.72
4,2014-03-20,20:45,70.99
4,2014-03-20,21:00,71.02
4,2014-03-20,21:15,70.59
4,2014-03-20,21:30,71.05
4,2014-03-20,21:45,70.85
4,2014-03-20,22:00,71.59
4,2014-03-20,22:15,74.15
4,2014-03-20,22:30,72.18
4,2014-03-20,22:45,70.35
4,2014-03-20,23:00,73.31
4,2014-03-20,23:15,71.74
4,2014-03-20,23:30,71.43
4,2014-03-20,23:45,73.38
4,2014-03-27,00:00,70.89
4,2014-03-27,00:15,71.69
4,2014-03-27,00:30,73.37
4,2014-03-27,00:45,78.32
4,2014-03-27,01:00,75.33
4,2014-03-27,01:15,78.42
4,2014-03-27,01:30,77.42
4,2014-03-27,01:45,75.86
4,2014-03-27,02:00,73.88
4,2014-03-27,02:15,78.00
4,2014-03-27,02:30,75.36
4,2014-03-27,02:45,79.09
4,2014-03-27,03:00,76.72
4,2014-03-27,03:15,71.69
4,2014-03-27,03:30,76.34
4,2014-03-27,03:45,71.64
4,2014-03-27,04:00,72.17
4,2014-03-27,04:15,71.46
4,2014-03-27,04:30,73.01
4,2014-03-27,04:45,73.65
4,2014-03-27,05:00,68.68
4,2014-03-27,05:15,69.05
4,2014-03-27,05:30,67.44
4,2014-03-27,05:45,65.84
4,2014-03-27,06:00,66.62
4,2014-03-27,06:15,71.78
4,2014-03-27,06:30,72.80
4,2014-03-27,06:45,74.74
4,2014-03-27,07:00,78.97
4,2014-03-27,07:15,91.61
4,2014-03-27,07:30,93.19
4,2014-03-27,07:45,93.62
4,2014-03-27,08:00,91.69
4,2014-03-27,08:15,93.90
4,2014-03-27,08:30,93.84
4,2014-03-27,08:45,83.37
4,2014-03-27,09:00,71.69
4,2014-03-27,09:15,72.32
4,2014-03-27,09:30,75.60
4,2014-03-27,09:45,73.72
4,2014-03-27,10:00,77.75
4,2014-03-27,10:15,75.56
4,2014-03-27,10:30,73.41
4,2014-03-27,10:45,74.03
4,2014-03-27,11:00,71.87
4,2014-03-27,11:15,71.30
4,2014-03-27,11:30,71.29
4,2014-03-27,11:45,71.60
4,2014-03-27,12:00,71.68
4,2014-03-27,12:15,69.70
4,2014-03-27,12:30,71.76
4,2014-03-27,12:45,70.80
4,2014-03-27,13:00,72.10
4,2014-03-27,13:15,71.94
4,2014-03-27,13:30,73.83
4,2014-03-27,13:45,70.11
4,2014-03-27,14:00,71.95
4,2014-03-27,14:15,72.16
4,2014-03-27,14:30,69.28
4,2014-03-27,14:45,69.26
4,2014-03-27,15:00,70.50
4,2014-03-27,15:15,71.33
4,2014-03-27,15:30,68.95
4,2014-03-27,15:45,69.53
4,2014-03-27,16:00,70.40
4,2014-03-27,16:15,70.47
4,2014-03-27,16:30,74.27
4,2014-03-27,16:45,73.98
4,2014-03-27,17:00,70.37
4,2014-03-27,17:15,70.74
4,2014-03-27,17:30,71.44
4,2014-03-27,17:45,70.40
4,2014-03-27,18:00,69.44
4,2014-03-27,18:15,69.02
4,2014-03-27,18:30,68.17
4,2014-03-27,18:45,70.34
4,2014-03-27,19:00,69.68
4,2014-03-27,19:15,70.43
4,2014-03-27,19:30,69.62
4,2014-03-27,19:45,69.51
4,2014-03-27,20:00,69.42
4,2014-03-27,20:15,69.61
4,2014-03-27,20:30,69.51
4,2014-03-27,20:45,70.65
4,2014-03-27,21:00,68.49
4,2014-03-27,21:15,68.62
4,2014-03-27,21:30,73.01
4,2014-03-27,21:45,73.71
4,2014-03-27,22:00,72.87
4,2014-03-27,22:15,73.24
4,2014-03-27,22:30,72.19
4,2014-03-27,22:45,72.97
4,2014-03-27,23:00,71.70
4,2014-03-27,23:15,68.98
4,2014-03-27,23:30,73.18
4,2014-03-27,23:45,74.09
2,2014-03-06,00:00,102.13
2,2014-03-06,00:15,98.11
2,2014-03-06,00:30,97.44
2,2014-03-06,00:45,100.84
2,2014-03-06,01:00,101.75
2,2014-03-06,01:15,101.63
2,2014-03-06,01:30,97.54
2,2014-03-06,01:45,104.70
2,2014-03-06,02:00,106.50
2,2014-03-06,02:15,99.06
2,2014-03-06,02:30,104.60
2,2014-03-06,02:45,103.42
2,2014-03-06,03:00,98.78
2,2014-03-06,03:15,103.34
2,2014-03-06,03:30,107.15
2,2014-03-06,03:45,104.85
2,2014-03-06,04:00,107.36
2,2014-03-06,04:15,102.81
2,2014-03-06,04:30,98.73
2,2014-03-06,04:45,97.66
2,2014-03-06,05:00,94.14
2,2014-03-06,05:15,92.46
2,2014-03-06,05:30,90.05
2,2014-03-06,05:45,91.17
2,2014-03-06,06:00,91.73
2,2014-03-06,06:15,97.29
2,2014-03-06,06:30,100.76
2,2014-03-06,06:45,121.23
2,2014-03-06,07:00,152.67
2,2014-03-06,07:15,149.87
2,2014-03-06,07:30,175.87
2,2014-03-06,07:45,127.55
2,2014-03-06,08:00,129.00
2,2014-03-06,08:15,110.67
2,2014-03-06,08:30,99.36
2,2014-03-06,08:45,99.00
2,2014-03-06,09:00,94.19
2,2014-03-06,09:15,95.40
2,2014-03-06,09:30,94.85
2,2014-03-06,09:45,95.35
2,2014-03-06,10:00,94.61
2,2014-03-06,10:15,95.38
2,2014-03-06,10:30,94.48
2,2014-03-06,10:45,95.04
2,2014-03-06,11:00,92.37
2,2014-03-06,11:15,93.15
2,2014-03-06,11:30,94.26
2,2014-03-06,11:45,92.43
2,2014-03-06,12:00,93.25
2,2014-03-06,12:15,93.17
2,2014-03-06,12:30,94.31
2,2014-03-06,12:45,93.43
2,2014-03-06,13:00,93.67
2,2014-03-06,13:15,94.44
2,2014-03-06,13:30,92.42
2,2014-03-06,13:45,91.43
2,2014-03-06,14:00,93.43
2,2014-03-06,14:15,94.04
2,2014-03-06,14:30,92.98
2,2014-03-06,14:45,92.03
2,2014-03-06,15:00,95.29
2,2014-03-06,15:15,91.22
2,2014-03-06,15:30,92.83
2,2014-03-06,15:45,95.10
2,2014-03-06,16:00,93.52
2,2014-03-06,16:15,93.94
2,2014-03-06,16:30,93.68
2,2014-03-06,16:45,95.04
2,2014-03-06,17:00,96.09
2,2014-03-06,17:15,94.13
2,2014-03-06,17:30,92.92
2,2014-03-06,17:45,101.91
2,2014-03-06,18:00,97.32
2,2014-03-06,18:15,98.87
2,2014-03-06,18:30,105.66
2,2014-03-06,18:45,90.32
2,2014-03-06,19:00,89.36
2,2014-03-06,19:15,90.89
2,2014-03-06,19:30,90.99
2,2014-03-06,19:45,91.41
2,2014-03-06,20:00,90.21
2,2014-03-06,20:15,90.44
2,2014-03-06,20:30,89.87
2,2014-03-06,20:45,89.52
2,2014-03-06,21:00,91.82
2,2014-03-06,21:15,94.50
2,2014-03-06,21:30,93.84
2,2014-03-06,21:45,96.58
2,2014-03-06,22:00,96.26
2,2014-03-06,22:15,95.75
2,2014-03-06,22:30,97.84
2,2014-03-06,22:45,94.09
2,2014-03-06,23:00,89.77
2,2014-03-06,23:15,90.14
2,2014-03-06,23:30,90.36
2,2014-03-06,23:45,93.35
2,2014-03-13,00:00,96.12
2,2014-03-13,00:15,96.47
2,2014-03-13,00:30,95.91
2,2014-03-13,00:45,101.26
2,2014-03-13,01:00,102.78
2,2014-03-13,01:15,103.34
2,2014-03-13,01:30,99.20
2,2014-03-13,01:45,100.85
2,2014-03-13,02:00,107.62
2,2014-03-13,02:15,102.29
2,2014-03-13,02:30,102.49
2,2014-03-13,02:45,101.31
2,2014-03-13,03:00,103.57
2,2014-03-13,03:15,101.28
2,2014-03-13,03:30,96.94
2,2014-03-13,03:45,100.07
2,2014-03-13,04:00,93.44
2,2014-03-13,04:15,97.26
2,2014-03-13,04:30,96.24
2,2014-03-13,04:45,92.48
2,2014-03-13,05:00,90.09
2,2014-03-13,05:15,89.75
2,2014-03-13,05:30,90.00
2,2014-03-13,05:45,87.61
2,2014-03-13,06:00,90.16
2,2014-03-13,06:15,92.81
2,2014-03-13,06:30,98.52
2,2014-03-13,06:45,119.08
2,2014-03-13,07:00,113.38
2,2014-03-13,07:15,127.30
2,2014-03-13,07:30,115.54
2,2014-03-13,07:45,121.37
2,2014-03-13,08:00,133.87
2,2014-03-13,08:15,165.41
2,2014-03-13,08:30,121.51
2,2014-03-13,08:45,104.12
2,2014-03-13,09:00,109.33
2,2014-03-13,09:15,94.81
2,2014-03-13,09:30,95.63
2,2014-03-13,09:45,102.20
2,2014-03-13,10:00,96.66
2,2014-03-13,10:15,94.50
2,2014-03-13,10:30,96.37
2,2014-03-13,10:45,95.09
2,2014-03-13,11:00,95.91
2,2014-03-13,11:15,94.63
2,2014-03-13,11:30,93.86
2,2014-03-13,11:45,95.89
2,2014-03-13,12:00,94.26
2,2014-03-13,12:15,94.03
2,2014-03-13,12:30,93.40
2,2014-03-13,12:45,93.01
2,2014-03-13,13:00,93.87
2,2014-03-13,13:15,93.56
2,2014-03-13,13:30,92.95
2,2014-03-13,13:45,92.78
2,2014-03-13,14:00,92.97
2,2014-03-13,14:15,93.40
2,2014-03-13,14:30,92.86
2,2014-03-13,14:45,95.04
