LinkRef,Date,TimePeriod,AverageJT
4,2013-07-06,00:00,71.04
4,2013-07-06,00:15,68.01
4,2013-07-06,00:30,72.54
4,2013-07-06,00:45,74.01
4,2013-07-06,01:00,72.12
4,2013-07-06,01:15,71.45
4,2013-07-06,01:30,75.69
4,2013-07-06,01:45,73.75
4,2013-07-06,02:00,70.07
4,2013-07-06,02:15,75.53
4,2013-07-06,02:30,72.55
4,2013-07-06,02:45,72.98
4,2013-07-06,03:00,71.91
4,2013-07-06,03:15,74.81
4,2013-07-06,03:30,68.18
4,2013-07-06,03:45,71.53
4,2013-07-06,04:00,72.61
4,2013-07-06,04:15,68.59
4,2013-07-06,04:30,71.65
4,2013-07-06,04:45,67.92
4,2013-07-06,05:00,68.13
4,2013-07-06,05:15,68.04
4,2013-07-06,05:30,66.89
4,2013-07-06,05:45,65.97
4,2013-07-06,06:00,65.87
4,2013-07-06,06:15,65.24
4,2013-07-06,06:30,65.83
4,2013-07-06,06:45,65.75
4,2013-07-06,07:00,66.07
4,2013-07-06,07:15,66.67
4,2013-07-06,07:30,67.55
4,2013-07-06,07:45,67.08
4,2013-07-06,08:00,67.52
4,2013-07-06,08:15,67.17
4,2013-07-06,08:30,67.63
4,2013-07-06,08:45,68.62
4,2013-07-06,09:00,69.46
4,2013-07-06,09:15,70.55
4,2013-07-06,09:30,70.98
4,2013-07-06,09:45,71.08
4,2013-07-06,10:00,71.95
4,2013-07-06,10:15,72.71
4,2013-07-06,10:30,71.62
4,2013-07-06,10:45,73.08
4,2013-07-06,11:00,71.33
4,2013-07-06,11:15,74.55
4,2013-07-06,11:30,71.59
4,2013-07-06,11:45,70.70
4,2013-07-06,12:00,69.22
4,2013-07-06,12:15,68.62
4,2013-07-06,12:30,67.56
4,2013-07-06,12:45,68.45
4,2013-07-06,13:00,68.13
4,2013-07-06,13:15,67.74
4,2013-07-06,13:30,67.86
4,2013-07-06,13:45,68.72
4,2013-07-06,14:00,71.36
4,2013-07-06,14:15,67.40
4,2013-07-06,14:30,67.06
4,2013-07-06,14:45,67.12
4,2013-07-06,15:00,66.77
4,2013-07-06,15:15,67.30
4,2013-07-06,15:30,66.50
4,2013-07-06,15:45,66.87
4,2013-07-06,16:00,68.24
4,2013-07-06,16:15,67.15
4,2013-07-06,16:30,75.73
4,2013-07-06,16:45,68.47
4,2013-07-06,17:00,69.97
4,2013-07-06,17:15,68.40
4,2013-07-06,17:30,66.69
4,2013-07-06,17:45,67.46
4,2013-07-06,18:00,69.63
4,2013-07-06,18:15,69.09
4,2013-07-06,18:30,66.29
4,2013-07-06,18:45,66.05
4,2013-07-06,19:00,66.58
4,2013-07-06,19:15,66.59
4,2013-07-06,19:30,66.44
4,2013-07-06,19:45,66.54
4,2013-07-06,20:00,64.61
4,2013-07-06,20:15,65.55
4,2013-07-06,20:30,65.38
4,2013-07-06,20:45,66.57
4,2013-07-06,21:00,64.90
4,2013-07-06,21:15,65.71
4,2013-07-06,21:30,66.02
4,2013-07-06,21:45,66.20
4,2013-07-06,22:00,65.94
4,2013-07-06,22:15,66.89
4,2013-07-06,22:30,68.79
4,2013-07-06,22:45,67.52
4,2013-07-06,23:00,67.87
4,2013-07-06,23:15,66.78
4,2013-07-06,23:30,66.96
4,2013-07-06,23:45,66.58
4,2013-07-13,00:00,68.13
4,2013-07-13,00:15,68.28
4,2013-07-13,00:30,70.15
4,2013-07-13,00:45,69.23
4,2013-07-13,01:00,69.77
4,2013-07-13,01:15,70.30
4,2013-07-13,01:30,71.84
4,2013-07-13,01:45,71.96
4,2013-07-13,02:00,75.11
4,2013-07-13,02:15,73.82
4,2013-07-13,02:30,73.14
4,2013-07-13,02:45,76.07
4,2013-07-13,03:00,73.02
4,2013-07-13,03:15,75.14
4,2013-07-13,03:30,69.00
4,2013-07-13,03:45,71.82
4,2013-07-13,04:00,66.63
4,2013-07-13,04:15,70.11
4,2013-07-13,04:30,68.66
4,2013-07-13,04:45,69.64
4,2013-07-13,05:00,68.52
4,2013-07-13,05:15,68.05
4,2013-07-13,05:30,66.61
4,2013-07-13,05:45,65.50
4,2013-07-13,06:00,65.61
4,2013-07-13,06:15,64.94
4,2013-07-13,06:30,66.23
4,2013-07-13,06:45,65.97
4,2013-07-13,07:00,66.35
4,2013-07-13,07:15,66.59
4,2013-07-13,07:30,67.99
4,2013-07-13,07:45,67.31
4,2013-07-13,08:00,67.27
4,2013-07-13,08:15,67.01
4,2013-07-13,08:30,67.76
4,2013-07-13,08:45,69.09
4,2013-07-13,09:00,70.32
4,2013-07-13,09:15,70.39
4,2013-07-13,09:30,72.35
4,2013-07-13,09:45,73.77
4,2013-07-13,10:00,73.81
4,2013-07-13,10:15,74.98
4,2013-07-13,10:30,75.08
4,2013-07-13,10:45,76.44
4,2013-07-13,11:00,79.02
4,2013-07-13,11:15,73.48
4,2013-07-13,11:30,71.71
4,2013-07-13,11:45,70.40
4,2013-07-13,12:00,70.43
4,2013-07-13,12:15,68.62
4,2013-07-13,12:30,68.10
4,2013-07-13,12:45,68.08
4,2013-07-13,13:00,68.19
4,2013-07-13,13:15,68.72
4,2013-07-13,13:30,68.49
4,2013-07-13,13:45,69.27
4,2013-07-13,14:00,71.36
4,2013-07-13,14:15,68.07
4,2013-07-13,14:30,68.22
4,2013-07-13,14:45,68.13
4,2013-07-13,15:00,68.87
4,2013-07-13,15:15,68.06
4,2013-07-13,15:30,68.07
4,2013-07-13,15:45,68.15
4,2013-07-13,16:00,67.63
4,2013-07-13,16:15,66.67
4,2013-07-13,16:30,67.33
4,2013-07-13,16:45,67.68
4,2013-07-13,17:00,69.09
4,2013-07-13,17:15,69.11
4,2013-07-13,17:30,68.21
4,2013-07-13,17:45,67.47
4,2013-07-13,18:00,66.47
4,2013-07-13,18:15,68.67
4,2013-07-13,18:30,68.40
4,2013-07-13,18:45,69.32
4,2013-07-13,19:00,70.62
4,2013-07-13,19:15,68.88
4,2013-07-13,19:30,67.64
4,2013-07-13,19:45,66.78
4,2013-07-13,20:00,68.45
4,2013-07-13,20:15,66.36
4,2013-07-13,20:30,65.71
4,2013-07-13,20:45,68.36
4,2013-07-13,21:00,67.70
4,2013-07-13,21:15,68.64
4,2013-07-13,21:30,67.47
4,2013-07-13,21:45,67.76
4,2013-07-13,22:00,71.46
4,2013-07-13,22:15,68.61
4,2013-07-13,22:30,69.96
4,2013-07-13,22:45,68.83
4,2013-07-13,23:00,67.00
4,2013-07-13,23:15,67.97
4,2013-07-13,23:30,66.87
4,2013-07-13,23:45,66.95
4,2013-07-20,00:00,69.88
4,2013-07-20,00:15,68.49
4,2013-07-20,00:30,68.95
4,2013-07-20,00:45,69.99
4,2013-07-20,01:00,71.10
4,2013-07-20,01:15,75.03
4,2013-07-20,01:30,69.52
4,2013-07-20,01:45,68.98
4,2013-07-20,02:00,72.21
4,2013-07-20,02:15,74.34
4,2013-07-20,02:30,76.11
4,2013-07-20,02:45,72.08
4,2013-07-20,03:00,71.47
4,2013-07-20,03:15,71.85
4,2013-07-20,03:30,68.06
4,2013-07-20,03:45,71.44
4,2013-07-20,04:00,68.34
4,2013-07-20,04:15,69.90
4,2013-07-20,04:30,69.52
4,2013-07-20,04:45,68.44
4,2013-07-20,05:00,67.07
4,2013-07-20,05:15,68.02
4,2013-07-20,05:30,65.72
4,2013-07-20,05:45,68.08
4,2013-07-20,06:00,68.59
4,2013-07-20,06:15,67.32
4,2013-07-20,06:30,66.28
4,2013-07-20,06:45,66.19
4,2013-07-20,07:00,66.38
4,2013-07-20,07:15,68.01
4,2013-07-20,07:30,66.57
4,2013-07-20,07:45,68.27
4,2013-07-20,08:00,68.16
4,2013-07-20,08:15,68.85
4,2013-07-20,08:30,70.21
4,2013-07-20,08:45,70.33
4,2013-07-20,09:00,70.76
4,2013-07-20,09:15,72.84
4,2013-07-20,09:30,74.71
4,2013-07-20,09:45,74.14
4,2013-07-20,10:00,73.05
4,2013-07-20,10:15,76.52
4,2013-07-20,10:30,74.73
4,2013-07-20,10:45,73.30
4,2013-07-20,11:00,73.18
4,2013-07-20,11:15,73.15
4,2013-07-20,11:30,71.81
4,2013-07-20,11:45,70.22
4,2013-07-20,12:00,71.91
4,2013-07-20,12:15,70.79
4,2013-07-20,12:30,69.42
4,2013-07-20,12:45,69.37
4,2013-07-20,13:00,70.58
4,2013-07-20,13:15,70.09
4,2013-07-20,13:30,69.31
4,2013-07-20,13:45,69.35
4,2013-07-20,14:00,70.52
4,2013-07-20,14:15,69.47
4,2013-07-20,14:30,69.33
4,2013-07-20,14:45,68.86
4,2013-07-20,15:00,68.98
4,2013-07-20,15:15,69.42
4,2013-07-20,15:30,67.76
4,2013-07-20,15:45,68.79
4,2013-07-20,16:00,67.71
4,2013-07-20,16:15,68.69
4,2013-07-20,16:30,67.32
4,2013-07-20,16:45,68.21
4,2013-07-20,17:00,67.64
4,2013-07-20,17:15,68.76
4,2013-07-20,17:30,69.34
4,2013-07-20,17:45,67.79
4,2013-07-20,18:00,69.42
4,2013-07-20,18:15,68.18
4,2013-07-20,18:30,68.27
4,2013-07-20,18:45,71.29
4,2013-07-20,19:00,67.12
4,2013-07-20,19:15,68.24
4,2013-07-20,19:30,67.95
4,2013-07-20,19:45,66.36
4,2013-07-20,20:00,66.40
4,2013-07-20,20:15,66.90
4,2013-07-20,20:30,67.06
4,2013-07-20,20:45,67.31
4,2013-07-20,21:00,65.59
4,2013-07-20,21:15,65.63
4,2013-07-20,21:30,67.46
4,2013-07-20,21:45,67.58
4,2013-07-20,22:00,68.72
4,2013-07-20,22:15,70.45
4,2013-07-20,22:30,68.90
4,2013-07-20,22:45,68.50
4,2013-07-20,23:00,67.97
4,2013-07-20,23:15,67.77
4,2013-07-20,23:30,69.56
4,2013-07-20,23:45,67.70
4,2013-07-27,00:00,69.91
4,2013-07-27,00:15,68.65
4,2013-07-27,00:30,68.35
4,2013-07-27,00:45,69.81
4,2013-07-27,01:00,71.63
4,2013-07-27,01:15,72.40
4,2013-07-27,01:30,69.91
4,2013-07-27,01:45,70.00
4,2013-07-27,02:00,69.03
4,2013-07-27,02:15,73.03
4,2013-07-27,02:30,73.18
4,2013-07-27,02:45,74.56
4,2013-07-27,03:00,71.75
4,2013-07-27,03:15,73.02
4,2013-07-27,03:30,70.41
4,2013-07-27,03:45,72.63
4,2013-07-27,04:00,69.49
4,2013-07-27,04:15,70.27
4,2013-07-27,04:30,73.05
4,2013-07-27,04:45,69.87
4,2013-07-27,05:00,67.26
4,2013-07-27,05:15,67.71
4,2013-07-27,05:30,66.76
4,2013-07-27,05:45,65.42
4,2013-07-27,06:00,66.17
4,2013-07-27,06:15,66.05
4,2013-07-27,06:30,66.98
4,2013-07-27,06:45,66.21
4,2013-07-27,07:00,66.07
4,2013-07-27,07:15,66.40
